手首|てくび　poignet
薬指|くすりゆび　annulaire
体に熱がこもる|からだにねつがもめる　feel feverish
家にこもる|いえにこもる refuse to go out
肌が荒れる|はだがあれる　To have rough skin
肌のつやがいい|はだのつやがいい　to have smooth/glossy skin
湿疹|しっしん　eczema、 rash.
傷口|きずぐち　wound、　wound opening.
塞げる　ふさげる|to close up; to block up; to fill; to cover
たちまち|In an instant, immediately, suddenly　薬を飲んだら、たちまち痛みが消えた。 The pain disappeared in an instant after taking the medicine.
ただちに|immediately,　at once, or without delay.　火事ですので、直ちに避難してください。Because there is a fire, please evacuate immediately.
にわかに|suddenly,　abruptly, or unexpectedly.　空がにわかに暗くなった。The sky suddenly became dark.
絶えず|Constantly, continually　彼は絶えず努力している。He is constantly making an effort.
つねに|always, constantly. 彼は常に時間を守る。 He always keeps time.
しきりに|frequently,　repeatedly,　persistently　彼はしきりに質問をした。He asked questions repeatedly.
しょっちゅう| frequently、　often.　彼はしょっちゅう遅刻する　He is frequently late
前もって|in advance, beforehand 前もって準備をしておいてください。Please make preparations in advance.
せいぜい|at most, to the utmost. この部屋にはせいぜい10人しか入れません。 This room can hold at most 10 people
移民|いみん　アメリカには多くの移民が住んでいます　Many immigrants live in the United States.
強硬|きょうこう　firm,　strong,　unyielding.　強硬な反対意見が出た。A strong opposing opinion was expressed.
姿勢|しせい　Posture, attitude, stance　正しい姿勢で座ることが大切です。It is important to sit with correct posture.
雇用|こよう　Employment, hiring　会社は新しい従業員を雇用する予定です。The company plans to hire new employees.
懐疑的|かいぎてき　Skeptical, doubtful　彼はその計画に対して懐疑的です。He is skeptical about the plan
陰謀論|いんぼうろん　Conspiracy theory　彼は陰謀論を信じている。He believes in conspiracy theories.
就任|しゅうにん　Inauguration, assumption of office, taking up a post　彼は新しい社長に就任した　He assumed the position of the new president.
